#Frame       Nb108bp1        Trop2
     995       2.0688       5.4181
     996       2.1803       5.3130
     997       2.2121       5.2010
     998       1.9544       5.2403
     999       2.1669       5.0207
    1000       2.2315       5.3533
    1001       2.2747       5.4438
    1002       2.1584       5.1250
    1003       2.1343       5.2241
    1004       2.0937       5.1801
    1005       2.1016       5.3081
    1006       2.1059       5.3286
    1007       1.8882       5.3374
    1008       2.1113       5.3225
    1009       2.1266       5.2804
    1010       2.1140       5.5003
    1011       1.9778       5.2653
    1012       2.0420       5.3720
    1013       2.1833       5.3018
    1014       2.3002       5.2438
    1015       2.0804       5.5375
    1016       2.3455       5.5499
    1017       2.1282       5.7278
    1018       2.2589       5.8706
    1019       2.0913       5.6746
    1020       2.1568       5.4933
    1021       2.1382       5.4064
    1022       2.2091       5.4135
    1023       1.9902       5.6653
    1024       1.8804       5.3319
    1025       2.1489       5.4788
    1026       2.0766       5.1598
    1027       1.9566       5.0308
    1028       1.9204       5.1737
    1029       1.9632       5.1656
    1030       2.0207       5.2223
    1031       2.0201       5.2000
    1032       2.0341       5.3817
    1033       2.1065       5.5171
    1034       2.0850       5.4528
    1035       1.9395       5.3387
    1036       1.8830       5.6856
    1037       1.8746       5.7190
    1038       1.8149       5.5030
    1039       1.8098       5.5616
    1040       1.9139       5.9170
    1041       1.8463       5.7454
    1042       1.7247       5.3581
    1043       1.7743       5.4345
    1044       1.8785       5.5043
    1045       1.9617       5.3690
    1046       1.9497       5.6323
    1047       1.8556       5.6378
    1048       1.8132       5.5811
    1049       1.8175       5.5969
    1050       1.9908       5.5057
    1051       1.9522       5.1136
    1052       1.8996       5.6430
    1053       2.0192       5.4413
    1054       2.2131       5.6418
    1055       1.8607       5.8087
    1056       1.9349       5.5723
    1057       1.7827       5.9365
    1058       1.9408       6.0098
    1059       2.0272       5.8583
    1060       2.1956       5.6192
    1061       1.9911       5.7182
    1062       1.8257       5.4547
    1063       1.9188       5.6679
    1064       1.9715       5.5113
    1065       2.2650       5.4451
    1066       2.2411       5.4584
