#Frame        Nb65bp2        Trop2
     465       1.8235       3.2201
     466       1.7104       3.1278
     467       1.7763       3.3747
     468       1.7874       3.0393
     469       1.7214       2.9035
     470       1.9122       2.9382
     471       1.8327       3.0364
     472       1.9015       2.8890
     473       1.9283       3.0797
     474       2.0989       3.2681
     475       2.0188       3.0794
     476       2.0741       3.2282
     477       1.9064       2.8627
     478       1.8475       2.8942
     479       1.7377       2.5435
     480       1.8908       2.7487
     481       1.7945       2.9684
     482       1.6436       2.7578
     483       1.8287       2.9308
     484       1.6761       3.0767
     485       1.7855       2.7914
     486       1.7945       3.0412
     487       1.9285       3.0825
     488       1.8384       2.7275
     489       1.9281       2.9494
     490       1.8714       2.8118
     491       1.9286       2.6509
     492       1.6788       2.9624
     493       1.7049       2.8663
     494       1.6744       2.9429
     495       1.7029       2.8462
     496       1.7848       2.8329
     497       1.7055       2.7114
     498       1.6760       2.7918
     499       1.7473       2.7803
     500       1.7001       2.9528
     501       1.6590       2.9498
     502       1.7518       3.0048
     503       1.8963       2.7233
     504       1.9493       2.7790
     505       1.9668       2.8703
     506       1.9634       2.9296
     507       1.8605       2.8053
     508       1.8835       2.8398
     509       1.9289       2.7485
     510       2.0267       2.8552
     511       1.7494       2.9050
     512       1.8460       2.7978
     513       1.8420       2.9569
     514       1.6784       2.8526
     515       1.9326       2.8438
     516       2.0000       2.6272
     517       1.8364       2.9022
     518       1.7581       2.8446
     519       1.8408       2.7627
     520       1.9158       2.9157
     521       1.9558       2.9869
     522       1.7724       2.7918
     523       1.7317       2.6965
     524       1.8123       2.8249
     525       1.7805       2.5657
     526       1.8081       2.8286
     527       1.7513       2.8671
     528       1.9072       2.9630
     529       1.8562       3.0670
     530       1.9385       2.9457
     531       1.9389       2.9834
     532       1.6894       2.9380
     533       1.8445       2.9580
     534       1.7724       2.8562
     535       1.7540       2.9956
     536       1.8481       2.8344
     537       1.6649       2.7935
     538       1.7851       2.7977
     539       1.7099       2.6268
     540       1.8997       2.9410
     541       1.8166       2.7219
     542       1.8942       2.8934
     543       1.7959       2.7230
     544       1.7728       2.8130
     545       1.7909       2.7010
     546       1.6577       2.6139
     547       1.6616       3.0352
     548       1.6099       2.9695
     549       1.7130       3.0798
     550       1.6111       2.9548
     551       1.6968       2.8240
     552       1.7743       2.9774
     553       1.7939       2.8448
     554       1.7903       2.8894
     555       1.7404       3.0780
     556       1.7019       2.9322
     557       1.9973       2.7458
     558       1.8203       2.7775
     559       1.7949       2.7845
     560       1.7321       2.8728
     561       1.7805       3.0250
     562       1.8866       2.9398
     563       1.9248       3.2703
     564       1.8777       3.0140
     565       2.0017       3.1323
     566       1.8589       2.9836
     567       1.9810       3.0339
     568       1.9015       3.2342
     569       1.8354       3.1425
     570       1.9403       3.0619
     571       1.9013       2.9501
     572       1.7621       3.1631
     573       1.9552       2.8938
     574       1.8991       2.8888
     575       1.8337       3.0988
     576       1.8113       3.2929
     577       1.9091       3.2185
     578       1.8663       3.0461
     579       1.8913       2.9096
     580       1.8650       3.0314
     581       1.8879       2.8243
     582       1.8051       3.0094
     583       1.7509       2.8542
     584       1.9255       3.1201
     585       1.7688       2.8795
     586       1.7626       2.9111
     587       1.9065       2.9365
     588       1.8870       2.9737
     589       1.7628       3.0673
     590       1.8168       2.7874
     591       1.7898       2.9467
     592       1.9468       2.6486
     593       1.9209       2.8446
     594       1.8557       2.7227
     595       1.8739       2.7905
     596       1.9299       2.8328
     597       1.9850       2.7946
     598       1.8887       3.1061
     599       1.8707       2.7190
     600       1.8430       2.9856
     601       1.7227       2.8649
     602       1.8626       2.7729
     603       1.7452       2.9650
     604       1.9639       3.0625
     605       2.0429       2.9073
     606       1.9091       3.0719
     607       1.7916       3.0388
     608       1.8428       3.0221
     609       1.7208       3.0110
     610       1.6897       2.9685
     611       1.8104       2.7756
     612       1.9051       2.8469
     613       1.8258       2.9205
     614       1.9441       2.7783
     615       1.9804       2.8982
     616       1.9695       2.8431
     617       1.9441       2.7895
     618       1.8278       2.8902
     619       1.8895       3.1303
     620       1.7357       2.9927
     621       1.7957       2.8974
     622       1.9681       3.0259
     623       1.9184       3.1205
     624       1.9412       3.0318
     625       2.0740       3.2451
     626       1.9373       3.1354
     627       1.8593       3.1297
     628       1.7354       3.0926
     629       1.9962       3.1006
     630       1.9680       3.0727
     631       2.0107       3.2130
     632       1.7242       3.0527
     633       1.8625       2.7913
     634       1.7998       2.8629
     635       1.7100       2.8236
     636       1.7805       2.6336
     637       1.6186       2.6833
     638       1.8248       2.7456
     639       1.7388       2.8379
     640       1.9230       2.7218
     641       1.8269       2.8754
     642       1.9221       2.9251
     643       1.8852       3.0960
     644       1.8313       2.8840
     645       1.8886       2.9674
     646       1.7602       2.8326
     647       1.7030       3.0908
     648       1.9367       3.0050
     649       1.8876       2.8836
     650       1.8284       3.0134
     651       1.8437       3.1575
     652       1.8055       3.0519
     653       1.7622       3.0491
     654       1.7513       2.8156
     655       1.8538       2.8237
     656       1.7129       2.9512
     657       1.8526       2.9212
     658       1.8708       2.8830
     659       2.0009       3.2416
     660       2.0356       3.1235
     661       1.8081       2.9139
     662       1.9076       2.6730
     663       1.9386       2.8464
     664       1.9920       2.9122
     665       1.9025       2.8917
     666       1.7335       2.9034
     667       1.8637       2.7091
     668       1.8071       2.8047
     669       1.9219       2.7807
     670       1.9050       2.7392
     671       1.9883       2.7659
     672       1.9816       2.9195
     673       1.8982       2.8599
     674       1.7554       2.9635
     675       1.6236       2.8670
     676       1.8646       2.7712
     677       1.8480       2.7453
     678       1.9083       2.8263
     679       1.7422       2.6456
     680       1.8378       2.6878
     681       1.9753       2.6325
     682       1.9325       2.5877
     683       1.7206       2.5861
     684       1.7303       2.6710
     685       1.7301       2.7735
     686       1.9344       2.7629
     687       1.9252       2.9563
     688       2.0002       2.8665
     689       1.9638       2.8879
     690       1.8440       2.6257
     691       1.9029       2.5709
     692       1.8772       2.9178
     693       1.8223       2.7747
     694       1.9978       2.6293
     695       1.9754       2.5978
     696       1.9840       2.7014
     697       1.8443       2.8642
     698       2.1168       3.0652
     699       1.8836       2.9256
     700       2.0090       2.6059
     701       1.9782       2.6062
     702       1.8867       2.4151
     703       1.8771       2.7783
     704       1.7239       2.7190
     705       1.8590       2.7657
     706       1.9105       2.5767
     707       2.0480       2.6044
     708       1.9021       2.6382
     709       1.9815       2.5381
     710       2.0742       2.5886
     711       1.9612       2.5942
     712       1.9593       2.5749
     713       1.8649       2.5121
     714       1.8953       2.8382
     715       1.8772       2.4641
     716       1.9065       2.3948
     717       1.9055       2.5097
     718       1.9240       2.7206
     719       1.8675       2.7656
     720       1.9456       2.7961
     721       1.7014       2.8893
     722       1.9129       2.7026
     723       2.1233       2.7527
     724       2.1644       2.8832
     725       1.9348       2.9473
     726       2.0184       2.9955
     727       1.9425       3.2087
     728       1.8219       3.0709
     729       1.8672       2.8694
     730       2.0551       2.6739
     731       1.8906       2.5674
     732       1.8689       2.5926
     733       1.9376       2.5256
     734       1.9189       2.6856
     735       2.0371       2.4719
     736       1.9022       2.3752
     737       1.9864       2.2979
     738       1.8974       2.4069
     739       1.9143       2.3309
     740       1.9460       2.3262
     741       1.7769       2.3051
     742       2.0270       2.7996
     743       1.8964       2.7685
     744       1.7353       2.6440
     745       1.8198       2.5713
     746       1.9149       2.3042
     747       1.7712       2.1915
     748       1.9877       2.2273
     749       1.8299       2.1752
     750       1.9131       2.3870
     751       1.9480       2.4677
     752       2.0071       2.2669
     753       1.7448       2.4599
     754       2.0430       2.7169
     755       1.8034       2.4916
     756       1.8242       2.4157
     757       1.8802       2.4180
     758       1.9341       2.4905
     759       2.0145       2.5314
     760       1.9242       2.2669
     761       1.8741       2.2813
     762       2.1046       2.1808
     763       2.0622       2.2531
     764       2.0689       2.3457
     765       2.0099       2.2623
     766       1.9358       2.3793
     767       1.9282       2.2073
     768       1.9034       2.2386
     769       1.8253       2.4538
     770       1.8966       2.4056
     771       1.9783       2.6230
     772       1.7944       2.4409
     773       1.7292       2.4586
     774       1.7020       2.5957
     775       1.8369       2.7194
     776       1.7664       2.3944
     777       1.8708       2.5322
     778       2.0104       2.8182
     779       1.9168       2.3208
     780       1.9154       2.4171
     781       2.0325       2.3415
     782       1.9660       2.2785
     783       1.8026       2.3405
     784       1.9803       2.3351
     785       1.9119       2.3588
     786       1.8499       2.5989
     787       2.1845       2.4847
     788       2.1221       2.3971
     789       1.7846       2.3977
     790       1.9778       2.6083
     791       1.8965       2.3984
     792       1.8260       2.5022
     793       1.8328       2.6592
     794       1.8791       2.5390
     795       1.9535       2.5978
     796       1.9145       2.3432
     797       1.9639       2.7288
     798       2.0452       2.6461
     799       1.8383       2.5512
     800       1.8654       2.5052
     801       1.9114       2.7692
     802       1.6930       2.4872
     803       1.8325       2.6699
     804       1.8765       2.4852
     805       1.8411       2.6360
     806       1.9275       2.5760
     807       1.8999       3.0134
     808       1.8317       3.0142
     809       1.9297       2.8860
     810       1.9142       3.2010
     811       1.9418       3.1726
     812       1.9387       3.1374
     813       1.8806       2.9361
     814       1.8625       2.5927
     815       1.8197       2.7836
     816       1.7777       3.0019
     817       1.7551       2.7955
     818       1.8281       2.9537
     819       1.8343       2.9460
     820       1.7144       3.1165
     821       1.6261       2.7719
     822       1.8132       2.8651
     823       1.6805       3.0003
     824       1.8292       2.8289
     825       1.8417       2.8719
     826       1.8111       2.7620
     827       1.6918       3.1221
     828       1.8983       3.1914
     829       1.7302       2.7228
     830       1.8417       3.1304
     831       1.7708       2.6986
     832       1.7578       2.9243
     833       1.7036       2.9478
     834       1.8202       3.0658
     835       1.8140       3.0759
     836       1.7815       3.2593
     837       1.7782       3.2705
