#Frame          Trop2     Nanobody
     976       4.1294       2.0871
     977       4.1450       1.7547
     978       4.1745       1.6626
     979       4.1026       1.7203
     980       4.3283       1.6783
     981       4.2696       1.6331
     982       4.2392       1.5650
     983       4.3742       1.7286
     984       4.4259       1.4591
     985       4.3589       1.7040
     986       4.1644       1.8230
     987       4.1892       1.6236
     988       4.2631       1.8870
     989       4.3239       1.6942
     990       3.9646       1.7278
     991       4.2228       1.9985
     992       4.1223       1.7123
     993       4.1788       1.8205
     994       4.2487       1.7584
     995       4.2931       1.8281
     996       4.2389       1.8463
     997       4.1579       1.8007
     998       4.1363       1.4429
     999       4.2275       1.4356
    1000       4.3410       1.4700
    1001       4.2237       1.5824
    1002       4.3110       1.5255
    1003       4.2705       1.6669
    1004       4.2787       1.8487
    1005       4.3465       1.8255
    1006       4.3100       1.8061
    1007       4.3456       1.6059
    1008       4.4674       1.6395
    1009       4.3871       1.8056
    1010       4.4685       1.7920
    1011       4.1934       1.9083
    1012       4.4284       1.6413
    1013       4.4063       1.5347
    1014       4.3662       1.6860
    1015       4.5122       1.5718
    1016       4.4530       1.6749
    1017       4.3901       1.4961
    1018       4.4709       1.7513
    1019       4.3655       1.7636
    1020       4.4121       1.6123
    1021       4.2209       1.5926
    1022       4.4445       1.4824
    1023       4.4296       1.6955
    1024       4.1931       1.5993
    1025       4.3907       1.5687
    1026       4.5343       1.7422
    1027       4.5018       1.7351
    1028       4.3114       1.7113
    1029       4.4076       1.7376
    1030       4.3336       1.5371
    1031       4.4096       1.8655
    1032       4.2152       1.6692
    1033       4.1767       1.9654
    1034       4.2602       2.2875
    1035       4.1025       2.0151
    1036       3.9781       2.0249
    1037       4.2986       1.9724
    1038       4.1833       1.9261
    1039       4.3610       1.8940
    1040       4.3421       1.8448
    1041       4.1051       1.7529
    1042       4.2953       1.9024
    1043       4.1508       2.0567
    1044       4.3407       2.1607
    1045       4.2045       1.9680
    1046       4.1304       1.7858
    1047       4.1558       2.0650
    1048       3.9483       2.1456
    1049       4.1063       2.0749
